Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,91.37,5.35,8.23,NA
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,89.86,5.19,7.99,NA
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,90.71,5.12,7.87,NA
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,96.81,5.31,8.17,NA
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,101.57,5.43,8.36,NA
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,102.32,5.52,8.49,NA
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,100.41,5.52,8.49,NA
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,103.31,5.61,8.63,NA
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,101.94,5.48,8.42,NA
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,95.19,5.39,8.30,NA
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,96.22,5.39,8.30,NA
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,96.08,5.27,8.11,NA
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,98.51,5.34,8.16,NA
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,98.92,5.41,8.21,NA
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,100.65,5.39,8.14,NA
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,101.19,5.34,8.01,NA
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,101.19,5.41,8.06,NA
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,100.95,5.51,8.17,NA
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,101.84,5.66,8.34,NA
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,99.91,5.68,8.33,NA
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,97.41,5.71,8.31,NA
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,99.99,5.90,8.55,NA
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,96.70,5.80,8.35,NA
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,100.50,5.95,8.52,NA
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,101.29,6.00,8.57,NA
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,99.88,5.92,8.44,NA
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,99.11,5.96,8.49,NA
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,97.75,6.01,8.53,NA
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,100.10,6.19,8.77,NA
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,101.71,6.43,9.09,NA
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,101.50,6.48,9.14,NA
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,101.50,6.54,9.19,NA
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,93.74,6.59,9.24,NA
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,87.56,6.79,9.51,NA
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,87.13,7.06,9.87,NA
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,93.09,6.95,9.69,NA
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,96.64,6.84,9.54,NA
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,99.54,6.84,9.54,NA
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,98.09,6.84,9.54,NA
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,96.88,6.95,9.69,NA
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,95.10,7.01,9.76,NA
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,96.96,7.17,10.00,NA
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,96.19,7.12,9.92,NA
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,97.18,7.17,10.00,NA
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,98.70,7.17,10.00,NA
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,100.10,7.29,10.16,NA
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,101.82,7.35,10.25,NA
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,101.15,7.35,10.25,NA
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,101.15,7.30,10.06,NA
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,100.93,7.24,9.88,NA
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,102.26,7.19,9.69,NA
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,102.75,7.07,9.43,NA
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,101.27,7.19,9.48,NA
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,100.92,7.26,9.45,NA
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,101.15,7.20,9.26,NA
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,100.75,7.08,8.99,NA
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,100.69,7.09,8.87,NA
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,99.08,7.03,8.68,NA
1875.11,4.37,0.30,0.37,11.04,1875.88,4.67,101.56,7.03,8.56,NA
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,102.44,7.03,8.44,NA
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,105.47,7.09,8.35,NA
1876.02,4.52,0.30,0.35,10.85,1876.13,4.58,106.89,7.09,8.20,NA
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,106.65,7.09,8.04,NA
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,103.54,7.16,7.95,NA
1876.05,4.18,0.30,0.33,10.37,1876.38,4.54,103.38,7.42,8.08,NA
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,105.55,7.63,8.14,NA
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,104.27,7.63,7.97,NA
1876.08,3.93,0.30,0.31,10.18,1876.62,4.51,99.02,7.56,7.73,NA
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,92.11,7.49,7.49,NA
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,89.94,7.35,7.19,NA
1876.11,3.60,0.30,0.29,10.56,1876.87,4.47,87.43,7.29,6.96,NA
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,85.41,7.16,6.68,NA
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,83.22,6.82,6.60,NA
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,80.39,6.78,6.82,NA
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,79.87,6.87,7.18,NA
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,72.05,6.45,7.03,NA
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,70.77,6.12,6.94,NA
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,69.43,6.23,7.38,NA
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,71.81,5.94,7.35,NA
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,79.83,5.93,7.68,NA
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,85.63,5.75,7.80,NA
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,87.48,5.51,7.84,NA
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,87.89,5.37,8.04,NA
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,87.62,5.12,8.09,NA
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,90.33,5.26,8.36,NA
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,89.30,5.29,8.47,NA
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,92.92,5.38,8.68,NA
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,96.53,5.41,8.79,NA
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,100.05,5.57,9.11,NA
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,104.46,5.67,9.34,NA
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,105.41,5.58,9.26,NA
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,103.34,5.49,9.19,NA
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,105.44,5.47,9.21,NA
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,105.41,5.50,9.34,NA
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,106.30,5.54,9.47,NA
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,108.15,5.64,9.72,NA
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,110.93,5.63,9.79,NA
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,113.65,5.62,9.86,NA
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,113.10,5.73,10.15,NA
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,118.18,5.85,10.45,NA
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,123.51,5.90,10.63,NA
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,125.60,6.03,10.94,NA
