Date,Fx
1950-12,1.05307813
1951-01,1.05187500
1951-02,1.04912500
1951-03,1.04729687
1951-04,1.05961310
1951-05,1.06370739
1951-06,1.06939063
1951-07,1.06066964
1951-08,1.05574728
1951-09,1.05559211
1951-10,1.05085227
1951-11,1.04336648
1951-12,1.02585937
1952-01,1.00480114
1952-02,1.00101563
1952-03,0.99589286
1952-04,0.98092187
1952-05,0.98380682
1952-06,0.97917187
1952-07,0.96909091
1952-08,0.96132441
1952-09,0.95976191
1952-10,0.96426136
1952-11,0.97662829
1952-12,0.97058239
1953-01,0.97053571
1953-02,0.97726562
1953-03,0.98332386
1953-04,0.98371875
1953-05,0.99409375
1953-06,0.99438988
1953-07,0.99183239
1953-08,0.98825893
1953-09,0.98425595
1953-10,0.98254464
1953-11,0.97768750
1953-12,0.97309659
1954-01,0.97287500
1954-02,0.96650000
1954-03,0.97080163
1954-04,0.98246875
1954-05,0.98432813
1954-06,0.98133523
1954-07,0.97440476
1954-08,0.97017045
1954-09,0.96965774
1954-10,0.96984375
1954-11,0.96922619
1954-12,0.96801631
1955-01,0.96604167
1955-02,0.97685937
1955-03,0.98425272
1955-04,0.98616776
1955-05,0.98589286
1955-06,0.98438920
1955-07,0.98456250
1955-08,0.98510869
1955-09,0.98778274
1955-10,0.99534375
1955-11,0.99943453
1955-12,0.99946429
1956-01,0.99867560
1956-02,0.99907738
1956-03,0.99869048
1956-04,0.99678125
1956-05,0.99177557
1956-06,0.98531250
1956-07,0.98184524
1956-08,0.98116848
1956-09,0.97766447
1956-10,0.97323864
1956-11,0.96436079
1956-12,0.96048438
1957-01,0.96065341
1957-02,0.95834375
1957-03,0.95608631
1957-04,0.95968500
1957-05,0.95562500
1957-06,0.95321875
1957-07,0.95092330
1957-08,0.94796875
1957-09,0.95917188
1957-10,0.96471591
1957-11,0.96235937
1957-12,0.97738095
1958-01,0.98473011
1958-02,0.98098437
1958-03,0.97733631
1958-04,0.97056250
1958-05,0.96690476
1958-06,0.96180059
1958-07,0.96000000
1958-08,0.96462798
1958-09,0.97683036
1958-10,0.97072443
1958-11,0.96833882
1958-12,0.96458807
1959-01,0.96691964
1959-02,0.97489062
1959-03,0.96979687
1959-04,0.96350852
1959-05,0.96289062
1959-06,0.95883523
1959-07,0.95737216
1959-08,0.95444941
1959-09,0.95159226
1959-10,0.94766369
1959-11,0.95028125
1959-12,0.95116477
1960-01,0.95307813
1960-02,0.95168155
1960-03,0.95088315
1960-04,0.96289474
1960-05,0.97806548
1960-06,0.98232955
1960-07,0.97835938
1960-08,0.96975544
1960-09,0.97247024
1960-10,0.97854687
1960-11,0.97669643
1960-12,0.98244048
1961-01,0.99293155
1961-02,0.98956250
1961-03,0.98731534
1961-04,0.98888158
1961-05,0.98754261
1961-06,1.00546875
1961-07,1.03409226
1961-08,1.03149456
1961-09,1.03078125
1961-10,1.03026786
1961-11,1.03572443
1961-12,1.04268750
1962-01,1.04500000
1962-02,1.04875000
1962-03,1.04938921
1962-04,1.04983553
1962-05,1.08228693
1962-06,1.08785715
1962-07,1.07892857
1962-08,1.07760869
1962-09,1.07677631
1962-10,1.07602273
1962-11,1.07677557
1962-12,1.07600000
1963-01,1.07708807
1963-02,1.07760937
1963-03,1.07800595
1963-04,1.07682812
1963-05,1.07723011
1963-06,1.07823438
1963-07,1.07968750
1963-08,1.08285511
1963-09,1.07982813
1963-10,1.07788352
1963-11,1.07760937
1963-12,1.07931250
1964-01,1.08021307
1964-02,1.08000000
1964-03,1.08048438
1964-04,1.08086648
1964-05,1.08089063
1964-06,1.08089489
1964-07,1.08125000
1964-08,1.07870536
1964-09,1.07608631
1964-10,1.07525298
1964-11,1.07390625
1964-12,1.07463068
1965-01,1.07382812
1965-02,1.07576562
1965-03,1.08114131
1965-04,1.07920313
1965-05,1.07946875
1965-06,1.08225852
1965-07,1.08348214
1965-08,1.07840909
1965-09,1.07642857
1965-10,1.07506250
1965-11,1.07492559
1965-12,1.07583807
1966-01,1.07464062
1966-02,1.07634375
1966-03,1.07620924
1966-04,1.07695312
1966-05,1.07674107
1966-06,1.07651988
1966-07,1.07484375
1966-08,1.07514945
1966-09,1.07622024
1966-10,1.07934375
1966-11,1.08200893
1966-12,1.08312500
1967-01,1.07947917
1967-02,1.08064063
1967-03,1.08200284
1967-04,1.08239062
1967-05,1.08210227
1967-06,1.08041193
1967-07,1.07784375
1967-08,1.07581522
1967-09,1.07525000
1967-10,1.07325893
1967-11,1.07514881
1967-12,1.08018092
1968-01,1.08465909
1968-02,1.08729167
1968-03,1.08485119
1968-04,1.08011905
1968-05,1.07791193
1968-06,1.07681250
1968-07,1.07359375
1968-08,1.07262784
1968-09,1.07295313
1968-10,1.07272728
1968-11,1.07304688
1968-12,1.07306250
1969-01,1.07272728
1969-02,1.07437500
1969-03,1.07670312
1969-04,1.07622024
1969-05,1.07703869
1969-06,1.07946429
1969-07,1.08062500
1969-08,1.07812500
1969-09,1.07821429
1969-10,1.07786932
1969-11,1.07582237
1969-12,1.07418155
1970-01,1.07278274
1970-02,1.07307813
1970-03,1.07269345
1970-04,1.07275568
1970-05,1.07281250
1970-06,1.03842329
1970-07,1.03201704
1970-08,1.02138393
1970-09,1.01586310
1970-10,1.02136905
1970-11,1.02003125
1970-12,1.01741477
1971-01,1.01164063
1971-02,1.00753125
1971-03,1.00626359
1971-04,1.00761905
1971-05,1.00873438
1971-06,1.02120739
1971-07,1.02114583
1971-08,1.01332386
1971-09,1.01287202
1971-10,1.00440625
1971-11,1.00373512
1971-12,0.99924716
1972-01,1.00592187
1972-02,1.00458333
1972-03,0.99839489
1972-04,0.99559375
1972-05,0.98866477
1972-06,0.97937500
1972-07,0.98385938
1972-08,0.98222826
1972-09,0.98287500
1972-10,0.98257441
1972-11,0.98720238
1972-12,0.99667763
1973-01,0.99914773
1973-02,0.99553125
1973-03,0.99655511
1973-04,1.00061000
1973-05,1.00048182
1973-06,0.99831429
1973-07,0.99941905
1973-08,1.00383478
1973-09,1.00810526
1973-10,1.00089091
1973-11,0.99878095
1973-12,0.99941053
1974-01,0.99140000
1974-02,0.97669000
1974-03,0.97200000
1974-04,0.96726667
1974-05,0.96213636
1974-06,0.96640000
1974-07,0.97608182
1974-08,0.97978182
1974-09,0.98625000
1974-10,0.98296364
1974-11,0.98715000
1974-12,0.98809000
1975-01,0.99474545
1975-02,1.00054000
1975-03,1.00029000
1975-04,1.01108182
1975-05,1.02814286
1975-06,1.02636191
1975-07,1.03070909
1975-08,1.03529524
1975-09,1.02620952
1975-10,1.02499091
1975-11,1.01371579
1975-12,1.01382857
1976-01,1.00637143
1976-02,0.99371000
1976-03,0.98580000
1976-04,0.98333333
1976-05,0.98002000
1976-06,0.97359091
1976-07,0.97216191
1976-08,0.98531818
1976-09,0.97496190
1976-10,0.97263000
1976-11,0.98572381
1976-12,1.01871818
1977-01,1.01089000
1977-02,1.02786500
1977-03,1.05108696
1977-04,1.05108500
1977-05,1.04853809
1977-06,1.05747727
1977-07,1.06099500
1977-08,1.07489130
1977-09,1.07325238
1977-10,1.09875500
1977-11,1.10923333
1977-12,1.09723000
1978-01,1.10111429
1978-02,1.11316000
1978-03,1.12560455
1978-04,1.14156500
1978-05,1.11887273
1978-06,1.12160909
1978-07,1.12450000
1978-08,1.14028261
1978-09,1.16629000
1978-10,1.18268095
1978-11,1.17275714
1978-12,1.17947369
1979-01,1.18983182
1979-02,1.19545000
1979-03,1.17387273
1979-04,1.14633000
1979-05,1.15562727
1979-06,1.17227143
1979-07,1.16344761
