Date,CPI,Price,Dividend,
1871.01,12.46,99.37,5.82,
1871.02,12.84,97.73,5.65,
1871.03,13.03,98.66,5.56,
1871.04,12.56,105.29,5.78,
1871.05,12.27,110.46,5.91,
1871.06,12.08,111.28,6.00,
1871.07,12.08,109.20,6.00,
1871.08,11.89,112.35,6.10,
1871.09,12.18,110.87,5.96,
1871.1,12.37,103.52,5.86,
1871.11,12.37,104.65,5.86,
1871.12,12.65,104.49,5.73,
1872.01,12.65,107.14,5.80,
1872.02,12.65,107.58,5.88,
1872.03,12.84,109.46,5.86,
1872.04,13.13,110.06,5.81,
1872.05,13.13,110.06,5.88,
1872.06,13.03,109.79,5.99,
1871.12,12.65,104.49,5.73,
1872.01,12.65,107.14,5.80,
1872.02,12.65,107.58,5.88,
1872.03,12.84,109.46,5.86,
1872.04,13.13,110.06,5.81,
1872.05,13.13,110.06,5.88,
1872.06,13.03,109.79,5.99,
1872.07,12.84,110.76,6.15,
1872.08,12.94,108.66,6.18,
1872.09,13.03,105.94,6.21,
1872.1,12.75,108.75,6.42,
1872.11,13.13,105.17,6.30,
1872.12,12.94,109.30,6.47,
1873.01,12.94,110.17,6.52,
1873.02,13.23,108.63,6.43,
1873.03,13.23,107.79,6.49,
1873.04,13.23,106.31,6.54,
1873.05,12.94,108.87,6.74,
1873.06,12.56,110.62,7.00,
1873.07,12.56,110.39,7.05,
1873.08,12.56,110.39,7.11,
1873.09,12.56,101.95,7.16,
1873.1,12.27,95.23,7.39,
1873.11,11.89,94.76,7.68,
1873.12,12.18,101.25,7.56,
1874.01,12.37,105.10,7.44,
1874.02,12.37,108.26,7.44,
1874.03,12.37,106.68,7.44,
1874.04,12.18,105.37,7.56,
1874.05,12.08,103.43,7.62,
1874.06,11.80,105.46,7.80,
1874.07,11.89,104.61,7.74,
1874.08,11.80,105.69,7.80,
1874.09,11.80,107.35,7.80,
1874.1,11.61,108.87,7.93,
1874.11,11.51,110.74,8.00,
1874.12,11.51,110.01,8.00,
1875.01,11.51,110.01,7.94,
1875.02,11.51,109.77,7.88,
1875.03,11.51,111.22,7.81,
1875.04,11.61,111.75,7.69,
1875.05,11.32,110.13,7.82,
1875.06,11.13,109.76,7.89,
1875.07,11.13,110.01,7.83,
1875.08,11.23,109.58,7.70,
1875.09,11.13,109.51,7.71,
1875.1,11.13,107.76,7.64,
1875.11,11.04,110.46,7.65,
1875.12,10.94,111.42,7.65,
1876.01,10.85,114.71,7.72,
1876.02,10.85,116.25,7.72,
1876.03,10.85,115.99,7.72,
1876.04,10.75,112.61,7.78,
1876.05,10.37,112.44,8.07,
1876.06,10.09,114.79,8.30,
1876.07,10.09,113.41,8.30,
1876.08,10.18,107.69,8.22,
1876.09,10.28,100.18,8.14,
1876.1,10.47,97.82,8.00,
1876.11,10.56,95.09,7.92,
1876.12,10.75,92.89,7.78,
1877.01,10.94,90.51,7.41,
1877.02,10.66,87.44,7.37,
1877.03,10.18,86.86,7.47,
1877.04,10.47,78.36,7.02,
1877.05,10.66,76.96,6.65,
1877.06,10.09,75.51,6.78,
1877.07,10.18,78.10,6.46,
1877.08,9.80,86.82,6.45,
1877.09,9.70,93.13,6.25,
1877.1,9.70,95.15,5.99,
1877.11,9.51,95.58,5.84,
1877.12,9.51,95.29,5.57,
1878.01,9.23,98.24,5.72,
1878.02,9.13,97.12,5.75,
1878.03,8.94,101.06,5.85,
1878.04,8.85,104.99,5.89,
1878.05,8.56,108.81,6.05,
1878.06,8.37,113.61,6.16,
1878.07,8.47,114.65,6.07,
1878.08,8.56,112.39,5.97,
1878.09,8.56,114.67,5.95,
1878.1,8.47,114.65,5.99,
1878.11,8.37,115.61,6.02,
1878.12,8.18,117.62,6.14,
1879.01,8.28,120.65,6.12,
1879.02,8.37,123.61,6.11,
1879.03,8.28,123.01,6.23,
1879.04,8.18,128.53,6.37,
1879.05,8.18,134.33,6.42,
1879.06,8.09,136.60,6.55,
1879.07,8.18,137.74,6.54,
1879.08,8.18,138.76,6.59,
1879.09,8.47,139.02,6.42,
1879.1,8.94,145.98,6.14,
1879.11,9.42,146.01,5.87,
1879.12,9.70,141.43,5.75,
1880.01,9.99,142.69,5.72,
1880.02,9.99,145.20,5.86,
1880.03,10.09,146.60,5.95,
1880.04,9.70,148.90,6.32,
1880.05,9.42,141.27,6.66,
1880.06,9.23,144.79,6.95,
1880.07,9.23,151.44,7.10,
1880.08,9.23,156.88,7.25,
